run_id,repo_name,commit_sha,workflow_id,stage,failure_type,error_type,status,duration
1001,DhruvHegde/dependency-error-repo,abc1234,300000001,build,F1,SyntaxError,success,10
1002,DhruvHegde/dependency-error-repo,def5678,300000002,install,F2,MissingDependency,failure,12
100778285889,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,KeyError,failure,9.0
100778286001,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,ValueError,failure,11.0
100778286002,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,ValueError,failure,8.0
100778286009,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,ZeroDivisionError,failure,8.0
100778286048,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,TypeError,failure,8.0
100778286106,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,KeyError,failure,21.0
100778286132,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,IndexError,failure,6.0
100778286162,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,AssertionError,failure,8.0
100778286173,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,FileNotFoundError,failure,6.0
100778286182,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,IndexError,failure,10.0
100778286199,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,ZeroDivisionError,failure,6.0
100778286217,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,AttributeError,failure,7.0
100778286248,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,TypeError,failure,7.0
100778286253,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,AssertionError,failure,8.0
100778286273,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,FileNotFoundError,failure,9.0
100778286289,DhruvHegde/dependency-error-repo,660ead74f9b7f6ba62a83a092e7607efebde8823,f3_test.yml,test,F3,AttributeError,failure,6.0
