run_id,timestamp,step_name,stage,duration,status,error_type,error_message,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0001,2026-08-19T14:06:50.3257184Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0002,2026-08-20T06:58:17.7846733Z,Check App Syntax,build,0.021,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.15
run_0003,2026-08-20T06:58:38.2125224Z,Check App Syntax,build,0.026,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.15
run_0004,2026-08-20T06:59:07.1540486Z,Check App Syntax,build,0.024,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
run_0005,2026-08-20T06:59:34.5402756Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0006,2026-08-23T17:22:40.3732682Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0007,2026-08-23T17:23:07.1110349Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0008,2026-08-23T17:23:30.3195302Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0009,2026-08-23T17:23:55.8827547Z,Check App Syntax,build,0.024,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0010,2026-08-23T17:24:22.6440140Z,Check App Syntax,build,0.024,failure,SyntaxError,expression expected after dictionary key and ':',syntax_error,1,<string>,SyntaxError: expression expected after dictionary key and ':',1,3.11.16
run_0011,2026-08-23T17:24:43.0670274Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0012,2026-08-23T17:25:03.9513154Z,Check App Syntax,build,0.026,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0013,2026-08-23T17:25:30.0774123Z,Check App Syntax,build,0.026,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.16
run_0014,2026-08-23T17:25:49.8723927Z,Check App Syntax,build,0.026,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
run_0015,2026-08-23T17:26:10.7369054Z,Check App Syntax,build,0.019,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0016,2026-08-23T17:26:36.5349718Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0017,2026-08-23T17:26:56.8620715Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
